
1	30037
2	30310
3	30311
4	30333
5	30586
6	30718
7	30846
8	31185
9	31482
10	31621
11	31633
12	32271
13	32378
14	32561
15	32947
16	32993
17	33228
18	33289
19	33339
20	33746
21	33809
22	34484
23	34551
24	34932
25	34958
26	35153
27	35307
28	35398
29	35409
30	35684
31	35720
32	35722
33	36149
34	36318
35	36450
36	36483
37	36638
38	36668
39	36696
40	36739
41	36967
42	37193
43	37593
44	37750
45	37790
46	37845
47	37873
48	38003
49	38218
50	38275
51	38355
52	38507
53	38784
54	39088
55	39116
56	39125
57	39201
58	39233
59	39353
60	39520
61	39948
